x1,y1,z1,x2,y2,z2,status
3.5,1.5,1.0,0.0,8.0,-8.0,NotYet
3.5,1.5,1.0,0.0,8.0,-7.5,NotYet
3.5,1.5,1.0,0.0,8.0,-7.0,NotYet
3.5,1.5,1.0,0.0,8.0,-6.5,NotYet
3.5,1.5,1.0,0.0,8.0,-6.0,NotYet
3.5,1.5,1.0,0.0,8.0,-5.5,NotYet
3.5,1.5,1.0,0.0,8.0,-5.0,NotYet
3.5,1.5,1.0,0.0,8.0,-4.5,NotYet
3.5,1.5,1.0,0.0,8.0,-4.0,NotYet
3.5,1.5,1.0,0.0,8.0,-3.5,NotYet
3.5,1.5,1.0,0.0,8.0,-3.0,NotYet
3.5,1.5,1.0,0.0,8.0,-2.5,NotYet
3.5,1.5,1.0,0.0,8.0,-2.0,NotYet
3.5,1.5,1.0,0.0,8.0,-1.5,NotYet
3.5,1.5,1.0,0.0,8.0,-1.0,NotYet
3.5,1.5,1.0,0.0,8.0,-0.5,NotYet
3.5,1.5,1.0,0.0,8.0,0.0,NotYet
3.5,1.5,1.0,0.0,8.0,0.5,NotYet
3.5,1.5,1.0,0.0,8.0,1.0,NotYet
3.5,1.5,1.0,0.0,8.0,1.5,NotYet
3.5,1.5,1.0,0.0,8.0,2.0,NotYet
3.5,1.5,1.0,0.0,8.0,2.5,NotYet
3.5,1.5,1.0,0.0,8.0,3.0,NotYet
3.5,1.5,1.0,0.0,8.0,3.5,NotYet
3.5,1.5,1.0,0.0,8.0,4.0,NotYet
3.5,1.5,1.0,0.0,8.0,4.5,NotYet
3.5,1.5,1.0,0.0,8.0,5.0,NotYet
3.5,1.5,1.0,0.0,8.0,5.5,NotYet
3.5,1.5,1.0,0.0,8.0,6.0,NotYet
3.5,1.5,1.0,0.0,8.0,6.5,NotYet
3.5,1.5,1.0,0.0,8.0,7.0,NotYet
3.5,1.5,1.0,0.0,8.0,7.5,NotYet
3.5,1.5,1.0,0.0,8.0,8.0,NotYet
